Chord,Total_Count,billboard,ireal-pro,isophonics,weimar-jazz
C:maj,10348,7598,2478,89,183
G:maj,10322,7639,2503,73,107
D:maj,9649,7268,2270,103,8
A:maj,9000,7326,1616,39,19
E:maj,7362,5784,1570,8,0
F:maj,7136,5151,1785,37,163
G:7,6845,1186,4086,201,1372
C:7,6699,1023,4249,106,1321
N,6222,4793,643,545,241
F:7,5987,987,3190,104,1706
G:min7,5889,896,3840,102,1051
Bb:7,5860,451,3516,78,1815
Bb:maj,5758,4321,1235,53,149
D:7,5412,1120,3234,166,892
A:min7,5228,1167,3402,147,512
D:min7,5138,1038,3391,45,664
C:min7,4810,760,2856,51,1143
F:min7,4431,504,2935,55,937
Ab:maj,4109,2941,964,61,143
Eb:7,4070,551,2135,49,1335
A:7,4069,952,2477,149,491
Eb:maj,3962,2489,1283,40,150
A:min,3729,2039,1139,512,39
B:maj,3633,2832,789,10,2
E:7,3389,1019,1957,121,292
E:min7,3348,1026,1987,57,278
D:min,3194,1891,958,273,72
E:min,3157,1928,781,444,4
F:maj7,2932,450,2052,51,379
B:min,2651,1899,399,351,2
Ab:7,2625,535,1307,12,771
Eb:maj7,2574,178,1913,5,478
Bb:min7,2470,429,1559,16,466
B:min7,2427,785,1476,48,118
Db:maj,2344,1707,533,19,85
B:7,2307,743,1290,70,204
C:maj7,2281,360,1651,22,248
G:min,2185,1148,760,172,105
Bb:maj7,2148,244,1432,16,456
Eb:min7,2004,543,1012,7,442
G:maj7,1873,317,1302,41,213
C:min,1841,824,651,252,114
A,1838,0,0,1838,0
Db:7,1768,465,926,4,373
Ab:maj7,1704,211,1189,13,291
F:min,1694,806,511,217,160
G,1684,0,0,1684,0
F#:min7,1681,584,945,65,87
F#:min,1577,809,450,313,5
D,1568,0,0,1568,0
Gb:maj,1462,1009,434,2,17
C#:min,1359,831,342,183,3
D:maj7,1311,299,826,32,154
F#:maj,1239,980,256,1,2
F:maj6,1188,95,960,22,111
E,1140,0,0,1140,0
C,1139,0,0,1139,0
Db:maj7,1113,138,715,7,253
C#:min7,1053,426,575,9,43
C:maj6,1003,70,863,18,52
F#:7,905,386,455,11,53
Bb:maj6,884,95,639,11,139
Eb:maj6,844,32,737,7,68
Gb:7,797,203,335,9,250
Bb:min,791,389,263,81,58
D:maj/5,762,636,126,0,0
Ab:min7,750,145,492,2,111
A:hdim7,747,1,539,0,207
D:hdim7,701,46,450,0,205
A:maj7,654,146,446,2,60
E:hdim7,647,5,486,0,156
Eb:min,643,319,275,17,32
F,593,0,0,593,0
E:maj7,579,102,406,15,56
D:7(b9),577,3,574,0,0
G:hdim7,562,6,394,0,162
G:maj6,543,66,417,16,44
E:min9,539,237,293,3,6
B:hdim7,537,5,465,0,67
C:7(b9),533,2,530,1,0
B,530,0,0,530,0
Gb:maj7,517,86,370,1,60
C:sus4,511,350,96,8,57
B:maj7,509,93,340,6,70
F:maj/3,507,317,172,0,18
G#:min7,504,199,293,12,0
Ab:maj6,494,83,311,6,94
G:7(b9),482,6,476,0,0
G:5,481,481,0,0,0
D:maj/3,477,248,220,0,9
A:7(b9),474,13,461,0,0
G#:min,466,189,209,68,0
F:maj/5,448,350,94,0,4
A:maj/5,427,266,161,0,0
D:5,416,416,0,0,0
A:5,414,414,0,0,0
Bb,411,0,0,411,0
C:maj/5,406,273,125,0,8
E:maj/3,406,307,99,0,0
E:7(b9),395,27,367,1,0
E:1/1,389,389,0,0,0
G:maj/3,387,162,223,1,1
D:maj6,387,142,161,78,6
G:maj/5,361,218,139,2,2
A:sus4(b7),357,137,218,2,0
C:maj(9),351,266,79,6,0
G:sus4(b7),345,114,228,3,0
G:sus4,338,133,138,63,4
G:min6,337,23,227,0,87
F#:hdim7,336,30,276,9,21
D:sus4,333,174,136,23,0
G:maj(9),331,303,28,0,0
D:9,325,13,255,15,42
Db:min7,319,91,119,0,109
F:min9,319,91,214,0,14
E:7(#9),316,165,148,3,0
F:min6,312,11,248,20,33
Bb:maj/3,309,96,213,0,0
D:sus4(b7),302,112,180,10,0
A:1/1,301,301,0,0,0
C#:7,299,108,164,17,10
C:5,298,298,0,0,0
C:maj9,297,117,179,1,0
A:maj/3,291,205,86,0,0
D:min6,288,47,152,15,74
C:7(#9),284,132,152,0,0
C:maj/3,281,189,90,1,1
Ab:7(#9),280,274,6,0,0
E:9,277,82,159,35,1
Bb:maj/5,275,180,93,0,2
A:min9,274,61,201,5,7
Ab:min,273,113,120,33,7
D:1/1,259,259,0,0,0
B:sus4(b7),256,127,129,0,0
C#:maj,254,177,77,0,0
Bb:sus4(b7),254,41,213,0,0
A:maj(9),251,119,131,1,0
C:9,250,14,192,18,26
D#:min,250,140,100,10,0
F:sus4(b7),249,65,184,0,0
C:hdim7,249,19,166,0,64
A:9,248,39,197,9,3
Eb,248,0,0,248,0
B:dim7,245,0,196,14,35
E:maj/5,244,162,80,0,2
Eb:7(#9),244,183,61,0,0
F#:min9,244,17,222,5,0
B:7(b9),242,18,224,0,0
A:maj6,241,128,90,21,2
C:sus4(b7),241,85,152,4,0
G:min9,239,26,186,8,19
D:maj9,235,41,169,25,0
Ab,235,0,0,235,0
B:sus4,234,80,77,3,74
C:min6,233,2,183,3,45
C#:min9,232,129,103,0,0
F:maj(9),230,197,25,8,0
Eb:maj9,230,63,167,0,0
A:sus4,229,109,87,33,0
Db:maj6,229,67,82,1,79
E:dim7,222,18,164,0,40
Bb:min6,221,17,137,0,67
B:1/1,219,219,0,0,0
Ab:maj/3,218,140,75,0,3
D:min/b3,216,134,54,28,0
F:5,215,215,0,0,0
F:7(b9),214,21,191,2,0
D:min/5,210,181,8,21,0
F:sus4,210,153,50,0,7
D/5,206,0,0,206,0
F#:5,203,203,0,0,0
F:maj9,202,79,122,1,0
Ab:dim7,200,0,175,0,25
E:sus4,199,47,148,4,0
"A:9(11,13)",194,0,194,0,0
D:maj(9),193,102,84,7,0
F#,193,0,0,193,0
F:hdim7,191,12,104,0,75
G:maj(9)/9,191,0,191,0,0
E:(5),191,0,191,0,0
Eb:min9,190,69,97,0,24
B:9,188,41,121,23,3
"D:sus4(b7,9)",188,109,79,0,0
E:sus4(b7),185,83,94,8,0
A:min7/b7,184,49,135,0,0
"G:sus4(b7,9)",180,139,41,0,0
Eb:maj/5,179,123,54,0,2
Ab:1/1,178,178,0,0,0
Db:maj/5,177,145,28,0,4
D:min7/b7,177,27,132,16,2
Gb:maj6,172,74,98,0,0
G:1/1,171,171,0,0,0
F#:dim7,170,3,157,0,10
C#:1/1,167,167,0,0,0
D:7(#9),167,20,117,30,0
Eb:9,166,24,103,8,31
Bb:sus4,165,48,66,1,50
E:5,164,164,0,0,0
D:min9,164,37,111,8,8
