Chord,Fixed_Chord,Total_Count,billboard,ireal-pro,isophonics,weimar-jazz
C:maj,C:maj,10348,7598,2478,89,183
G:maj,G:maj,10322,7639,2503,73,107
D:maj,D:maj,9649,7268,2270,103,8
A:maj,A:maj,9000,7326,1616,39,19
E:maj,E:maj,7362,5784,1570,8,0
F:maj,F:maj,7136,5151,1785,37,163
G:7,G:7,6845,1186,4086,201,1372
C:7,C:7,6699,1023,4249,106,1321
N,N,6222,4793,643,545,241
F:7,F:7,5987,987,3190,104,1706
G:min7,G:min7,5889,896,3840,102,1051
Bb:7,Bb:7,5860,451,3516,78,1815
Bb:maj,Bb:maj,5758,4321,1235,53,149
D:7,D:7,5412,1120,3234,166,892
A:min7,A:min7,5228,1167,3402,147,512
D:min7,D:min7,5138,1038,3391,45,664
C:min7,C:min7,4810,760,2856,51,1143
F:min7,F:min7,4431,504,2935,55,937
Ab:maj,Ab:maj,4109,2941,964,61,143
Eb:7,Eb:7,4070,551,2135,49,1335
A:7,A:7,4069,952,2477,149,491
Eb:maj,Eb:maj,3962,2489,1283,40,150
A:min,A:min,3729,2039,1139,512,39
B:maj,B:maj,3633,2832,789,10,2
E:7,E:7,3389,1019,1957,121,292
E:min7,E:min7,3348,1026,1987,57,278
D:min,D:min,3194,1891,958,273,72
E:min,E:min,3157,1928,781,444,4
F:maj7,F:maj7,2932,450,2052,51,379
B:min,B:min,2651,1899,399,351,2
Ab:7,Ab:7,2625,535,1307,12,771
Eb:maj7,Eb:maj7,2574,178,1913,5,478
Bb:min7,Bb:min7,2470,429,1559,16,466
B:min7,B:min7,2427,785,1476,48,118
Db:maj,Db:maj,2344,1707,533,19,85
B:7,B:7,2307,743,1290,70,204
C:maj7,C:maj7,2281,360,1651,22,248
G:min,G:min,2185,1148,760,172,105
Bb:maj7,Bb:maj7,2148,244,1432,16,456
Eb:min7,Eb:min7,2004,543,1012,7,442
G:maj7,G:maj7,1873,317,1302,41,213
C:min,C:min,1841,824,651,252,114
A,A:maj,1838,0,0,1838,0
Db:7,Db:7,1768,465,926,4,373
Ab:maj7,Ab:maj7,1704,211,1189,13,291
F:min,F:min,1694,806,511,217,160
G,G:maj,1684,0,0,1684,0
F#:min7,F#:min7,1681,584,945,65,87
F#:min,F#:min,1577,809,450,313,5
D,D:maj,1568,0,0,1568,0
Gb:maj,Gb:maj,1462,1009,434,2,17
C#:min,C#:min,1359,831,342,183,3
D:maj7,D:maj7,1311,299,826,32,154
F#:maj,F#:maj,1239,980,256,1,2
F:maj6,F:maj6,1188,95,960,22,111
E,E:maj,1140,0,0,1140,0
C,C:maj,1139,0,0,1139,0
Db:maj7,Db:maj7,1113,138,715,7,253
C#:min7,C#:min7,1053,426,575,9,43
C:maj6,C:maj6,1003,70,863,18,52
F#:7,F#:7,905,386,455,11,53
