Chord,Total_Count,billboard,ireal-pro,isophonics,weimar-jazz
G:maj,12020,7639,2503,1771,107
C:maj,11510,7598,2478,1251,183
D:maj,11224,7269,2270,1677,8
A:maj,10851,7330,1616,1886,19
E:maj,8591,5863,1570,1158,0
F:maj,7736,5153,1785,635,163
G:7,6845,1186,4086,201,1372
C:7,6699,1023,4249,106,1321
N,6222,4793,643,545,241
Bb:maj,6172,4322,1235,466,149
F:7,5987,987,3190,104,1706
G:min7,5889,896,3840,102,1051
Bb:7,5860,451,3516,78,1815
D:7,5412,1120,3234,166,892
A:min7,5228,1167,3402,147,512
D:min7,5138,1038,3391,45,664
C:min7,4810,760,2856,51,1143
F:min7,4431,504,2935,55,937
Ab:maj,4361,2957,964,297,143
B:maj,4325,2902,861,560,2
Eb:maj,4211,2489,1283,289,150
Eb:7,4070,551,2135,49,1335
A:7,4069,952,2477,149,491
A:min,3731,2039,1141,512,39
E:7,3389,1019,1957,121,292
E:min7,3350,1026,1987,57,280
D:min,3203,1891,967,273,72
E:min,3157,1928,781,444,4
F:maj7,2932,450,2052,51,379
B:min,2652,1899,399,352,2
Ab:7,2625,535,1307,12,771
Eb:maj7,2574,178,1913,5,478
Db:maj,2479,1712,533,149,85
Bb:min7,2470,429,1559,16,466
B:min7,2427,785,1476,48,118
B:7,2330,747,1295,70,218
C:maj7,2281,360,1651,22,248
G:min,2186,1148,761,172,105
Bb:maj7,2148,244,1432,16,456
Eb:min7,2004,543,1012,7,442
G:maj7,1873,317,1302,41,213
C:min,1843,824,653,252,114
Db:7,1768,465,926,4,373
Ab:maj7,1704,211,1189,13,291
F:min,1698,807,514,217,160
F#:min7,1681,584,945,65,87
F#:min,1577,809,450,313,5
Gb:maj,1513,1017,434,45,17
F#:maj,1432,980,256,194,2
C#:min,1360,831,342,184,3
D:maj7,1311,299,826,32,154
F:maj6,1188,95,960,22,111
Db:maj7,1113,138,715,7,253
C#:min7,1053,426,575,9,43
C:maj6,1003,70,863,18,52
D:maj/5,968,636,126,206,0
F#:7,905,386,455,11,53
Bb:maj6,884,95,639,11,139
Eb:maj6,844,32,737,7,68
Gb:7,797,203,335,9,250
Bb:min,791,389,263,81,58
Ab:min7,750,145,492,2,111
A:hdim7,747,1,539,0,207
